,Age,Ethnicity
SRX4022456,1,Asian
SRX4022457,12,Caucasian
SRX4022459,25,Caucasian
SRX4022461,26,Caucasian
SRX4022463,28,Caucasian
SRX4022464,29,Caucasian
SRX4022465,29,Caucasian
SRX4022466,30,Caucasian
SRX4022468,30,Caucasian
SRX4022469,30,Caucasian
SRX4022471,44,Caucasian
SRX4022472,41,Caucasian
SRX4022473,47,Caucasian
SRX4022475,46,Caucasian
SRX4022476,50,Caucasian
SRX4022478,47,Caucasian
SRX4022480,43,Caucasian
SRX4022481,44,Caucasian
SRX4022482,45,Caucasian
SRX4022483,46,Caucasian
SRX4022484,46,Caucasian
SRX4022485,47,Caucasian
SRX4022486,61,Caucasian
SRX4022489,63,Caucasian
SRX4022490,64,Caucasian
SRX4022491,66,Caucasian
SRX4022492,67,Caucasian
SRX4022493,67,Caucasian
SRX4022494,68,Caucasian
SRX4022495,68,Caucasian
SRX4022496,69,Caucasian
SRX4022498,83,Caucasian
SRX4022499,83,Caucasian
SRX4022500,83,Caucasian
SRX4022502,84,Caucasian
SRX4022504,84,Caucasian
SRX4022505,84,Caucasian
SRX4022506,84,Caucasian
SRX4022507,84,Caucasian
SRX4022508,86,Caucasian Sardinian
SRX4022509,86,Caucasian
SRX4022510,86,Caucasian
SRX4022512,87,Caucasian
SRX4022513,87,Caucasian
SRX4022514,87,Black
SRX4022515,88,Caucasian
SRX4022516,89,Caucasian
SRX4022517,90,Caucasian
SRX4022518,91,Caucasian
SRX4022520,96,Caucasian
SRX4022521,1,Caucasian
SRX4022523,3,Latino Hispanic
SRX4022524,3,Unknown
SRX4022525,5,Black
SRX4022526,6,Black
SRX4022527,7,Black
SRX4022528,7,Caucasian
SRX4022529,8,Caucasian
SRX4022530,8,Caucasian
SRX4022532,10,Black
SRX4022533,10,Caucasian
SRX4022536,12,Caucasian
SRX4022537,13,White East Indian
SRX4022539,17,Caucasian
SRX4022540,17,Caucasian
SRX4022542,19,Caucasian
SRX4022543,19,Caucasian
SRX4022544,19,Caucasian
SRX4022545,20,Caucasian
SRX4022549,32,Unknown
SRX4022551,33,Caucasian
SRX4022552,33,Caucasian
SRX4022555,37,Caucasian
SRX4022556,39,Caucasian
SRX4022557,51,Caucasian
SRX4022558,52,Caucasian
SRX4022559,55,Caucasian
SRX4022560,57,Caucasian
SRX4022561,60,Caucasian
SRX4022563,75,Caucasian
SRX4022564,78,Caucasian
SRX4022566,94,Caucasian
SRX4022567,89,Caucasian
SRX4022568,87,Caucasian
SRX4022569,90,Caucasian
SRX4022570,89,Caucasian
SRX4022571,86,Caucasian
SRX4022572,92,Caucasian
SRX4022573,87,Caucasian
SRX4022574,22,Caucasian
SRX4022576,29,Unknown
SRX4022577,24,Caucasian
SRX4022578,23,American Indian
SRX4022580,21,Caucasian
SRX4022583,68,Unknown
SRX4022585,66,Black
SRX4022586,68,Caucasian
SRX4022587,70,Caucasian
SRX4022588,69,Caucasian
